name,title,record_type,case_number,filing_date,jurisdiction,address,description,url
Federal Communications Commission,"Sunshine Act; Open Commission Meeting Thursday, August 6, 2026",public_notice,2026-15733,2026-08-03,United States,,"The Commission will consider a Notice of Proposed Rulemaking that would explore new avenues to allow innovative unlicensed wireless devices to communicate directly with satellites. The item would propose and seek comment on use of certain frequencies available under part 15 of the Commission's rules for communications between Earth and space, including direct-to-device (D2D) services. The NPRM would also propose to clarify that use of part 15 unlicensed devices is permitted within FCC- authorized spacecraft, and seek comment on other scenarios where part 15 unlicensed devices may safely operate in space. 2....................................... Wireline Competition....... Title: Maximizing Efficiencies in Universal Service Administration (WC Docket No. 26-173). Summary: The Commission will consider a Notice of Proposed Rulemaking that would propose to strengthen the Commission's management and administration of the Universal Service Fund (USF) by reforming and improving USF administration processes, the structure of USF administration, operating costs associated with USF administration, and the impact of USAC's Board of Directors on USF administration. 3....................................... Media...................... Title: Amendment of Section 73.3555(e) of the Commission's Rules, National Television Multiple Ownership Rule (MB Docket No. 17-318). Summary: The Commission will consider a Report and Order that would remove artificial barriers to broadcast television's ability to attract capital and generate revenue, thus enabling broadcast television owners to better fulfill their public interest obligations, including through increased investment in local programming. The Report and Order also enables broadcast television station owners to expand their audience reach, gaining important leverage against national television networks. 4....................................... Wireline Competition....... Title: Promoting Telehealth in Rural America (WC Docket No. 17-3",https://www.federalregister.gov/documents/2026/08/03/2026-15733/sunshine-act-open-commission-meeting-thursday-august-6-2026
"Commerce Department, Foreign-Trade Zones Board","Foreign-Trade Zone 75; Application for Subzone Expansion; Intel Corporation; Chandler, Arizona",public_notice,2026-15719,2026-08-03,United States,,"Foreign-Trade Zone 75; Application for Subzone Expansion; Intel Corporation; Chandler, Arizona",https://www.federalregister.gov/documents/2026/08/03/2026-15719/foreign-trade-zone-75-application-for-subzone-expansion-intel-corporation-chandler-arizona
"Agriculture Department, Agricultural Marketing Service",Tobacco Report: Notice of Request for an Extension of a Currently Approved Information Collection,public_notice,2026-15718,2026-08-03,United States,,"In accordance with the Paperwork Reduction Act of 1995, this notice announces the Agricultural Marketing Service's (AMS) intention to request approval from the Office of Management and Budget for an extension and revision of the currently approved information collection, ""Tobacco Report"" (OMB No. 0581-0004).",https://www.federalregister.gov/documents/2026/08/03/2026-15718/tobacco-report-notice-of-request-for-an-extension-of-a-currently-approved-information-collection
"Interior Department, National Park Service","Notice of Intended Repatriation: Franklin County Historical Society, Ottawa, KS",public_notice,2026-15715,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Franklin County Historical Society intends to repatriate a certain cultural item that meets the definition of an object of cultural patrimony and that has a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15715/notice-of-intended-repatriation-franklin-county-historical-society-ottawa-ks
"Interior Department, National Park Service","Notice of Intended Repatriation: Museum of Ventura County, Ventura, CA",public_notice,2026-15714,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Museum of Ventura County intends to repatriate certain cultural items that meet the definition of objects of cultural patrimony and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15714/notice-of-intended-repatriation-museum-of-ventura-county-ventura-ca
"Interior Department, National Park Service","Notice of Intended Repatriation: Michigan State University, East Lansing, MI",public_notice,2026-15713,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Michigan State University intends to repatriate certain cultural items that meet the definition of unassociated funerary objects and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15713/notice-of-intended-repatriation-michigan-state-university-east-lansing-mi
"Interior Department, National Park Service","Notice of Inventory Completion: U.S. Army Corps of Engineers, St. Louis District, St. Louis, MO",public_notice,2026-15712,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the U.S. Army Corps of Engineers, St. Louis District, has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15712/notice-of-inventory-completion-us-army-corps-of-engineers-st-louis-district-st-louis-mo
"Interior Department, National Park Service","Notice of Inventory Completion: Archaeological Survey of Idaho Western Repository, Idaho State Historical Society, Boise, ID",public_notice,2026-15711,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Archaeological Survey of Idaho Western Repository (ASI-WR) has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15711/notice-of-inventory-completion-archaeological-survey-of-idaho-western-repository-idaho-state
"Interior Department, National Park Service","Notice of Intended Repatriation: University of California, San Diego, San Diego, CA",public_notice,2026-15710,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the University of California San Diego intends to repatriate certain cultural items that meet the definition of objects of cultural patrimony and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15710/notice-of-intended-repatriation-university-of-california-san-diego-san-diego-ca
"Interior Department, National Park Service","Notice of Proposed Transfer or Reinterment: University of Wisconsin Oshkosh, Oshkosh, WI",public_notice,2026-15709,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the University of Wisconsin Oshkosh (UWO) proposes to transfer human remains and associated funerary objects listed in a notice of inventory completion published in the Federal Register on June 27, 2025.",https://www.federalregister.gov/documents/2026/08/03/2026-15709/notice-of-proposed-transfer-or-reinterment-university-of-wisconsin-oshkosh-oshkosh-wi
